address,lat,lng
600 w 46th,41.80989051875455,-87.64085227990654
4800 n kedzie av,41.96850460647839,-87.7085330818833
4600 n racine av,41.965445205434115,-87.65963999953347
1800 w 34th st,41.83234436539119,-87.67053240678909
4500 s california,41.81178482653357,-87.6943578593108
300 w kinzie st,41.8891305004327,-87.63576358673323
2300 n clark,41.923908314184295,-87.63947118598858
5400 w george,41.93320246378898,-87.7617445284494
1400 w bryn mawr,41.983559453257385,-87.66514286081134
100 s morgan st,41.87999582653356,-87.65198689595451
300 s canal,41.87798822343732,-87.63961091890422
2400 n stockton dr,41.92567238400434,-87.63610107600653
2100 n bingham,41.91879993031922,-87.6924252700674
8900 s marshfield,41.73152848279339,-87.66420519201958
4300 w cullerton,41.854351493219326,-87.73230497307979
800 w 55th st,41.79334611119991,-87.71307397760452
6200 n francisco,41.993984485902274,-87.70199822392998
2000 w 00 st,41.85512899417162,-87.62717837431444
5700 w grand,41.91928323454889,-87.76851626949049
5400 s kildare,41.79484780099833,-87.73062980824034
7300 s kedzie ave,41.75752137564115,-87.706057141439
1 w monroe,41.88067499286406,-87.627828463425
1500 n washtenaw,41.90853516180968,-87.69453688484602
3 w terminal 3j,38.37118968230675,-88.05839477102455
1900 w 23rd st,41.850479782820905,-87.67339406929285
2300 s california,41.84995399417162,-87.69544032656219
2900 w addison,41.94667948600596,-87.70067999999998
4100 s western ave,41.819147580904854,-87.68475033767072
7500 s hamilton,41.75693611235289,-87.67764668352946
7000 s morgan,41.76675824562872,-87.64932934488407
700 w 56th st,41.79253848089359,-87.64519178565372
3200 w fullerton ave,41.92479324371264,-87.70763881488459
3000 e 92nd st,41.72831652758739,-87.5511144045643
2400 w walton st,41.89854933586796,-87.68699266804344
5800 w catalpa,41.981181014732606,-87.77330920318502
1700 w north av,41.910606511541204,-87.67044377699231
4000 n marmora,41.95313249262093,-87.77438169212897
5100 s kedzie,41.80062482653353,-87.70379033709379
1500 w 21st,41.85426172239525,-87.66368775
4300 w 18th,41.856939511541185,-87.73240486372553
5800 w school,41.94036148600597,-87.7715725284494
5600 w belmont av,41.938596511541185,-87.76677094463038
2500 n lyndale,41.92254354774165,-87.68939102471678
2500 n austin,41.92577882653356,-87.77581041038124
500 n dearborn st,41.89112105245542,-87.62966735209743
600 n state,41.89274096863639,-87.62814890042658
6300 s morgan,41.77965119158525,-87.64968789229502
300 w superior st,41.895592478792615,-87.63600127990652
5700 s claremont,41.790153611979896,-87.68260479229454
4000 n meade ave,41.953060086027186,-87.77926008284572
7000 w wolfram,41.93180464478933,-87.80110345455387
4500 n sheridan road,41.963732696087476,-87.6547874725602
2400 n orchard,41.92551170775623,-87.64637898468305
1300 e 55th st,41.79517665189048,-87.59484434810949
